name,rating,ratinglabelsecondary,vendor-characteristic
Senang,3.4,100,Asian
Town Chicken,3.8,1000,Fast Food
Asian Kabab & Biryani House - GEC,3.3,500,Fast Food
Kutumbari Restora - WASA,3.7,5000,Bangladeshi
Alif Restaurant,3.7,100,Asian
Kazi Restaurant,3.4,86,Asian
Bangaliana - Station Road,3.8,100,Asian
Hot Dawgs by SubGiri,3.8,100,Chinese
Eden Restaurant & Kidz Zone,3.9,52,Asian
Fuchka Factory,3.4,100,Fast Food
Saint's Cafe,3.6,100,Fast Food
Silver Spoon,4.1,100,Asian
SriKrishna Dodhi Bhandar,3.9,100,Asian
Kitchen Asia,3.4,3000,Rice Dishes
Segafredo Zanetti Espresso,4.3,100,Fast Food
Takeout - Chittagong,4.1,5000,Fast Food
Golden Inn Restaurant,1.9,4,Asian
Cafe Al Baik - Stadium,3.2,500,Fast Food
Meal City,3.9,100,Fast Food
Milano Express,3.8,1000,Fast Food
Avenue 24/7,4.2,1000,Fast Food
Crush Cafe - Finlay Square,3.1,1000,Fast Food
Subero - Katalganj,3.3,39,Fast Food
Bella Pizzaria,3.8,100,Fast Food
Hunger Games - Chittagong,3.4,500,Fast Food
SubGiri,3.8,100,Fast Food
Subero - Lalkhan,3.8,61,Fast Food
Daba Restaurant,3.3,500,Fast Food
Fries & More - Chittagong,2.7,100,Fast Food
Ares- Chawkbazar,3.4,100,Fast Food
Gapush Gupush,3.5,500,Fast Food
Food Fiesta - Chittagong,2.9,500,Fast Food
Falafel,3.9,98,Fast Food
Shawarma Hut,3.4,500,Fast Food
Fantasy Pizza,1.7,9,Fast Food
Fries,3.8,100,Fast Food
Chicken Factory,3.7,56,Fast Food
Ajwa Restaurant,3.2,100,Fast Food
DAMN! Burger - Chittagong,1.6,12,Fast Food
Phyllo,4.6,5,Fast Food
Signature Club,3.7,10,Fast Food
Da Signature,3.9,1000,Thai
Bangaliana - Lalkhanbazar,3.4,100,Bangladeshi
Shorisha Bari,3.7,500,Bangladeshi
Teheriwala - Lalkhan Bazar,3.8,500,Bangladeshi
Mezzan Haile Aaiun - Lalkhan,3.7,1000,Bangladeshi
Dhaba Chittagong,3.5,500,Indian
Tai Wah Chinese Restaurant,3.8,100,Chinese
Gopal Ji Hotel and Restaurant,3.9,1000,Bangladeshi
Lobiyot Restaurant,3.6,100,Bangladeshi
Kureghor,2.7,1000,Bangladeshi
Sharia's Kitchen and Delight,3.3,100,Bangladeshi
Swapnil Restaurant - Chittagong,4.1,500,Bangladeshi
BIR Chattala,3.8,2000,Bangladeshi
Cafe Orion Restaurant,3.7,1000,Bangladeshi
Degchi Bari - Golpahar,3.6,1000,Rice Dishes
Bonjour,3.9,100,Chinese
Mezzan Haile Aaiun - Agrabad,3.7,1000,Bangladeshi
Blue Ocean Restaurant - Chittagong,3.5,1000,Chinese
Like Restaurant,2.7,16,Chinese
Nobab Hotel Restaurant & Biryani House,3.5,1000,Bangladeshi
Lunchwala - Chittagong,3.4,100,Rice Dishes
Wind of Change - Rooftop Music Lounge & Multi Cuisine Restaurant,3.8,100,Indian
Hotel Zaman & Restaurant - IFCO,4.1,29,Bangladeshi
Burgwich Town - Jamalkhan,3.9,91,Snacks
Uncle Chotpoti & Fuchka House - Nazirpul,4.1,93,Snacks
Biryani Wala,2.7,52,Bangladeshi
Arabian Darbar Restaurant,4.2,50,Biryani
Soho Diner,3.3,24,International
Hotel New Zaman & Biryani House - New Market,3.6,100,Bangladeshi
Mamunare! Nola-Akhni Cholibune,3.7,86,Bangladeshi
Hotel Zaman & Biryani House - Agrabad,3.2,95,Biryani
Mahmudiya Hotel - Chawkbazar,2.9,47,Bangladeshi
Mahim Chotpoti & Fuchka House,3.3,100,Snacks
Radhika's Kitchen,2.8,37,Bangladeshi
Whatta Bowl - Chittagong,2.6,9,Chinese
Bangali Bhojon,2.9,60,Bangladeshi
Chillox - Chittagong,3.9,5000,Burgers
Cafe Nobab,2.7,22,Bangladeshi
Cafe Hazari,4.5,15,Bangladeshi
Fattah's Food,4.5,21,Bangladeshi
Chowdhury Hotel - Iftar Bazar,1.5,4,Bangladeshi
Grand Shikdar Restaurant,3.7,3000,Indian
Masala Twist,2.9,1000,Japanese
Kutumbari Restora - Chawkbazar,3.6,2000,Bangladeshi
Cube,4.2,100,Chinese
Irina’s Kitchen & Cuisine,3.2,100,Bangladeshi
Cafe Ali Kebab & Biryani House,3.9,22,Biryani
The Eatalia,3.5,1000,Cafe
Dulce - Wasa,3.9,100,Dessert
Adda Khana - Chawkbazar,3.2,500,Chotpoti & Fuchka
PizzaArt,3.5,100,Pizza
DesArt & Bakery,3.4,500,Cakes & Bakery
Burgerita - Lalkhan,4.1,100,Burgers
Le Bakehouse,3.9,51,Dessert
Mithai - Mehedibag,4.1,100,Dessert
The Ritz Bistro,3.1,2,Rice Dishes
Tasty Treat - Wasar Mor,4.1,25,Dessert
Jackson's Fried Chicken - Chittagong,3.6,100,Fried Chicken
The Chick'n,3.9,500,Snacks
Pizza Fino,2.8,77,Pizza
The Golden Spoon,3.3,11,International
Mo's Pizza,2.9,73,Pizza
Mithai-New Market,3.5,58,Dessert
PizzaArt- Iftar Bazar,3.6,2,Iftar Specials
